LOAI        10.0 BTT  
3FYK9       10.0 C    
3FWH3        5.5 C    
3FYL9       10.0 C    
HODT         6.0 C    
HOLX        12.0 C    
VJD2969      1.0 BU   
9KKS         9.5 C    
9KWH         9.0 C    
9KWP         9.0 C    
VKBE         9.0 C    
PHIN         5.0 C    
C6SS3        7.0 C    
V7LF2       12.0 C    
V7LE9       12.0 C    
V2BJ5        8.0 C    
VRRB         1.0 BU   
VNAA         5.0 C    
C6HS4        9.0 C    
C4PN2        7.0 C    
P3FN9        9.0 C    
V7FN7       10.5 C    
V7CZ6       10.5 C    
V7EC7       11.0 C    
V7IA5        9.5 C    
P3BP9        9.0 C    
P3ET9        9.0 C    
J7AV7        7.0 C    
A3BN5        7.0 C    
A8IG9        8.0 C    
5WDC         6.0 C    
VJDL         3.0 C    
VMGO         7.0 C    
A3CH5        6.5 C    
A3BJ4        6.0 C    
9HXL4        7.5 C    
VNVD         1.0 BU   
VNVR        15.0 C    
A8LN3        7.0 C    
3EPI6        8.0 C    
VROB         1.0 BU   
VRRD         1.0 BU   
VJBF         4.0 C    
FHZI         4.0 C    
VMAL         9.0 C    
ONDB        16.0 C    
A8EY7       12.0 C    
C6RI4        1.0 BU   
ELFN8       10.0 C    
3ECM6       10.3 C    
H9OK         4.0 C    
C4EW2       11.0 C    
VNVZ        11.4 C    
VNVG        11.4 C    
ZCAS2        8.4 C    
ZCAO7       11.4 C    
VNVS        11.5 C    
VNVF        11.4 C    
VRCV        12.0 C    
A8MW2        9.0 C    
A8MV5       10.0 C    
V3KJ2        9.0 C    
ZCDS3        5.5 C    
MKRB6        5.6 C    
MNPJ3        7.0 C    
ELXS8        1.0 BU   
VNQL        10.5 C    
VNVM        10.0 C    
VNAH         9.0 C    
VNNM         7.0 C    
A8GK8       10.0 C    
3ELR6        4.0 C    
VHAF         4.0 C    
P3XN9       11.0 C    
ONEP         4.0 C    
VMGW         1.0 BU   
USTSR        2.0 HC   
EREK         1.0 BU   
EKIB         1.0 BU   
PWAB         1.0 BU   
PWAA         1.0 BU   
PWAC         1.0 BU   
PWGA         1.0 BU   
PWGU         1.0 BU   
PWGL         1.0 BU   
PWAH         1.0 BU   
PWMP         1.0 BU   
PWAW         1.0 BU   
PWCV         1.0 BU   
PWIM         1.0 BU   
PWAN         1.0 BU   
PWAU         1.0 BU   
PWAT         1.0 BU   
PWOC         1.0 BU   
PWIK         1.0 BU   
PWAR         1.0 BU   
PWBB         1.0 BU   
PWIA         1.0 BU   
PWBA         1.0 BU   
PWDB         1.0 BU   
PWBR         1.0 BU   
PWBT         1.0 BU   
PWTE         1.0 BU   
PWNA         1.0 BU   
PWBO         1.0 BU   
PWBL         1.0 BU   
PWCE         1.0 BU   
PW2010       1.0 BU   
PW2011       1.0 BU   
PWCH         1.0 BU   
PWRD         1.0 BU   
PWFZ         1.0 BU   
PWCM         1.0 BU   
PWCA         1.0 BU   
PWCO         1.0 BU   
PWJP         1.0 BU   
PWDE         1.0 BU   
PWDW         1.0 BU   
PWMN         1.0 BU   
PWZB         1.0 BU   
PWMX         1.0 BU   
PWEQ         1.0 BU   
PWFR         1.0 BU   
PWFN         1.0 BU   
PWGS         1.0 BU   
PWGM         1.0 BU   
PWGO         1.0 BU   
PWGJ         1.0 BU   
PWGB         1.0 BU   
PWGT         1.0 BU   
PWGH         1.0 BU   
PWGI         1.0 BU   
PWGC         1.0 BU   
PWGN         1.0 BU   
PWGD         1.0 BU   
PWUB         1.0 BU   
PWCC         1.0 BU   
PWDD         1.0 BU   
PWGE         1.0 BU   
PWAE         1.0 BU   
PWAD         1.0 BU   
PWIN         1.0 BU   
PWNM         1.0 BU   
PW2012       1.0 BU   
PWJC         1.0 BU   
PWJN         1.0 BU   
PWLI         1.0 BU   
PWMJ         1.0 BU   
PWMM         1.0 BU   
PWDH         1.0 BU   
PWMG         1.0 BU   
PWNI         1.0 BU   
PW2013       1.0 BU   
PWOF         1.0 BU   
PWOW         1.0 BU   
PWPE         1.0 BU   
PWPP         1.0 BU   
PWPG         1.0 BU   
PWPB         1.0 BU   
PW2014       1.0 BU   
PWPN         1.0 BU   
PWPR         1.0 BU   
PWPA         1.0 BU   
PWPT         1.0 BU   
PWDA         1.0 BU   
PWPM         1.0 BU   
PWZU         1.0 BU   
PWRA         1.0 BU   
PWPI         1.0 BU   
PWGY         1.0 BU   
PWPO         1.0 BU   
PWEA         1.0 BU   
PWRM         1.0 BU   
PWRT         1.0 BU   
PW2015       1.0 BU   
PWRJ         1.0 BU   
PWOM         1.0 BU   
PWRO         1.0 BU   
PWQO         1.0 BU   
PWKD         1.0 BU   
PWEB         1.0 BU   
PW2017       1.0 BU   
PWNE         1.0 BU   
PWTB         1.0 BU   
PWTC         1.0 BU   
PWYX         1.0 BU   
PWTR         1.0 BU   
PWZT         1.0 BU   
PWCU         1.0 BU   
PWUN         1.0 BU   
VOPP         3.0 HC   
VCDT         7.0 HC   
CGDT         5.0 HC   
VCLM        11.0 HC   
CFN3031      2.5 HC   
VOPM        10.0 HC   
CGDX         5.0 HC   
CG2522       1.0 HC   
CG2992       1.0 HC   
CGBR         2.5 HC   
CGDS         2.0 HC   
VOCC         1.5 HC   
CG2958       2.0 HC   
VOCJ         4.0 HC   
CG2350       1.0 HC   
CGBN         2.1 HC   
CGCC         3.0 HC   
CG2464       1.2 HC   
VCYL         2.0 HC   
VC6750       2.3 HC   
VCBZ         3.0 HC   
CGSB         5.0 HC   
CG2960       4.0 HC   
CGJK         2.0 HC   
CGTF         2.0 HC   
BPLI         1.0 BU   
BPGV         1.0 BU   
BPGB         1.0 BU   
BOLV         1.0 BU   
BRSP         1.0 BU   
BPLQ         1.0 BU   
BOXW         1.0 BU   
BOHL         1.0 BU   
BOIN         1.0 BU   
BOLU         1.0 BU   
BOZE         1.0 BU   
BRVG         1.0 BU   
BPKY         1.0 BU   
BPEI         1.0 BU   
BPKA         1.0 BU   
BPEY         1.0 BU   
BPLJ         1.0 BU   
BOVB         1.0 BU   
BRSI         1.0 BU   
BONB         1.0 BU   
BOXL         1.0 BU   
BIEL         1.0 BU   
BISW         1.0 BU   
BOLW         1.0 BU   
BOHQ         1.0 BU   
BONQ         1.0 BU   
BOHI         1.0 BU   
BOZX         1.0 BU   
BOXY         1.0 BU   
BOHJ         1.0 BU   
BONK         1.0 BU   
BONH         1.0 BU   
BONJ         1.0 BU   
BONG         1.0 BU   
BONZ         1.0 BU   
BONM         1.0 BU   
BONL         1.0 BU   
BONO         1.0 BU   
BONC         1.0 BU   
BOXQ         1.0 BU   
BOOA         1.0 BU   
BOOZ         1.0 BU   
BROE         1.0 BU   
BPAK         1.0 BU   
BOKE         1.0 BU   
BOMN         1.0 BU   
BOCL         1.0 BU   
A8JV7        1.0 BU   
DEBB         1.0 BU   
C6CN4        1.0 BU   
DFAW         1.0 BU   
A8KY6        1.0 BU   
ELVX4        1.0 BU   
DBAA         1.0 BU   
DDGY         1.0 BU   
A8AC5        1.0 BU   
A8CQ5        1.0 BU   
ELVZ7        1.0 BU   
V2KA7        1.0 BU   
A8JG4        1.0 BU   
HPKB         1.0 BU   
V2CV7        1.0 BU   
V2DU         1.0 BU   
V7LV6        1.0 BU   
DBBI         1.0 BU   
A8AD7        1.0 BU   
A8AF6        1.0 BU   
V2HA3        1.0 BU   
ZDGL5        1.0 BU   
ZQZK3        1.0 BU   
MZZW8        1.0 BU   
ZDEN5        1.0 BU   
DBAH         1.0 BU   
DBBS         1.0 BU   
V2KA8        1.0 BU   
DGNB         1.0 BU   
C6JC3        1.0 BU   
DBAS         1.0 BU   
ZDED7        1.0 BU   
DBMI         1.0 BU   
A8KI6        1.0 BU   
DEEU         1.0 BU   
DEFI         1.0 BU   
DEAL         1.0 BU   
DHKW         1.0 BU   
C6OX6        1.0 BU   
ELRU5        1.0 BU   
DILS         1.0 BU   
DNJQ         1.0 BU   
A8CP7        1.0 BU   
A8FB9        1.0 BU   
DAYU         1.0 BU   
A8EG8        1.0 BU   
A8BT3        1.0 BU   
A8DE3        1.0 BU   
DGCR         1.0 BU   
ELZL5        1.0 BU   
