! For mls data, pressure and obs errors are pulled from bufr, so not listed here
! sens/instr/sat lev  use pressure gross   obs    b_oz  pg_oz
!                                  error  error variational qc
 sbuv6_n14        1   -1    0.240  1.000  1.000 10.000  0.000
 sbuv6_n14        2   -1    0.490  1.000  1.000 10.000  0.000
 sbuv6_n14        3   -1    0.980  1.000  1.000 10.000  0.000
 sbuv6_n14        4   -1    1.950  1.000  1.000 10.000  0.000
 sbuv6_n14        5   -1    3.900  2.000  1.000 10.000  0.000
 sbuv6_n14        6   -1    7.800  3.000  1.414 10.000  0.000
 sbuv6_n14        7   -1   15.600  5.000  1.225 10.000  0.000
 sbuv6_n14        8   -1   31.000  7.000  1.225 10.000  0.000
 sbuv6_n14        9   -1   62.000  7.000  1.871 10.000  0.000
 sbuv6_n14       10   -1  125.000  5.000  1.871 10.000  0.000
 sbuv6_n14       11   -1  250.000  3.000  1.732 10.000  0.000
 sbuv6_n14       12   -1 1000.000  3.000  1.414 10.000  0.000
 sbuv6_n14       13   -1    0.000 12.000  2.236 10.000  0.000
 sbuv6_n16        1   -1    0.240  1.000  1.000 10.000  0.000
 sbuv6_n16        2   -1    0.490  1.000  1.000 10.000  0.000
 sbuv6_n16        3   -1    0.980  1.000  1.000 10.000  0.000
 sbuv6_n16        4   -1    1.950  1.000  1.000 10.000  0.000
 sbuv6_n16        5   -1    3.900  2.000  1.000 10.000  0.000
 sbuv6_n16        6   -1    7.800  3.000  1.414 10.000  0.000
 sbuv6_n16        7   -1   15.600  5.000  1.225 10.000  0.000
 sbuv6_n16        8   -1   31.000  7.000  1.225 10.000  0.000
 sbuv6_n16        9   -1   62.000  7.000  1.871 10.000  0.000
 sbuv6_n16       10   -1  125.000  5.000  1.871 10.000  0.000
 sbuv6_n16       11   -1  250.000  3.000  1.732 10.000  0.000
 sbuv6_n16       12   -1 1000.000  3.000  1.414 10.000  0.000
 sbuv6_n16       13   -1    0.000 12.000  2.236 10.000  0.000
 sbuv6_n17        1   -1    0.240  1.000  1.000 10.000  0.000
 sbuv6_n17        2   -1    0.490  1.000  1.000 10.000  0.000
 sbuv6_n17        3   -1    0.980  1.000  1.000 10.000  0.000
 sbuv6_n17        4   -1    1.950  1.000  1.000 10.000  0.000
 sbuv6_n17        5   -1    3.900  2.000  1.000 10.000  0.000
 sbuv6_n17        6   -1    7.800  3.000  1.414 10.000  0.000
 sbuv6_n17        7   -1   15.600  5.000  1.225 10.000  0.000
 sbuv6_n17        8   -1   31.000  7.000  1.225 10.000  0.000
 sbuv6_n17        9   -1   62.000  7.000  1.871 10.000  0.000
 sbuv6_n17       10   -1  125.000  5.000  1.871 10.000  0.000
 sbuv6_n17       11   -1  250.000  3.000  1.732 10.000  0.000
 sbuv6_n17       12   -1 1000.000  3.000  1.414 10.000  0.000
 sbuv6_n17       13   -1    0.000 12.000  2.236 10.000  0.000
 sbuv6_n18        1   -1    0.240  1.000  1.000 10.000  0.000
 sbuv6_n18        2   -1    0.490  1.000  1.000 10.000  0.000
 sbuv6_n18        3   -1    0.980  1.000  1.000 10.000  0.000
 sbuv6_n18        4   -1    1.950  1.000  1.000 10.000  0.000
 sbuv6_n18        5   -1    3.900  2.000  1.000 10.000  0.000
