 Area   lat1   lat2   lon1   lon2
  na     20     60    220     300
  nhe     0     90    -30     150
  nhw     0     90    150     360
  she   -90      0    -30     150
  shw   -90      0      0     150
  gb    -90     90      0     360
  nh     20     80      0     360
  sh    -80     20      0     360
  tr    -25     25      0     360
  ua     10     75    -30     150
  as     10     55     60     130
  eu     35     70    -15      60
  sa    -55     13    275     330
  af    -35     35    -25      60
