! otype   = observation type (a7, t, uv, q, etc.)                                     
! type    = prepbufr observation type (if available) 
! sub     = prepbufr subtype (not yet available)
! iuse    = flag if to use/not use / monitor data
!         = 1  use data
!         = 0  do not use data
!         = -1 monitor data
! twindow = time window (+/- hours)
! numgrp  = cross validation parameter - number of groups
! ngroup  = cross validation parameter - group to remove from data use
! nmiter  = cross validation parameter - external iteration to introduce removed data
! gross   = gross error parameter - gross error
! ermax   = gross error parameter - max error  
! ermin   = gross error parameter - min error
! var_b   = variational quality control parameter -  b parameter
! var_pg ithin rmesh npred  = variational quality control parameter -  pg parameter
!otype   type  sub iuse twindow numgrp ngroup nmiter gross ermax ermin var_b    var_pg ithin rmesh  pmesh  npred
 tcp      112    0    1     3.0      0      0      0  75.0   5.0   1.0  75.0  0.000000     0    0.     0.      0
 ps       120    0    1     3.0      0      0      0   4.0   3.0   1.0   4.0  0.000300     0    0.     0.      0
 ps       132    0   -1     3.0      0      0      0   4.0   3.0   1.0   4.0  0.000300     0    0.     0.      0
 ps       180    0    1     3.0      0      0      0   4.0   3.0   1.0   4.0  0.000300     0    0.     0.      0
 ps       181    0    1     3.0      0      0      0   3.6   3.0   1.0   3.6  0.000300     0    0.     0.      0
 ps       182    0    1     3.0      0      0      0   4.0   3.0   1.0   4.0  0.000300     0    0.     0.      0
 ps       183    0   -1     3.0      0      0      0   4.0   3.0   1.0   4.0  0.000300     0    0.     0.      0
 ps       187    0    1     3.0      0      0      0   4.0   3.0   1.0   4.0  0.000300     0    0.     0.      0
 t        120    0    1     3.0      0      0      0   8.0   5.6   1.3   8.0  0.000001     0    0.     0.      0
 t        126    0   -1     3.0      0      0      0   8.0   5.6   1.3   8.0  0.001000     0    0.     0.      0
 t        130    0    1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.001000     0    0.     0.      0
 t        131    0    1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.001000     0    0.     0.      0
 t        132    0    1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.001000     0    0.     0.      0
 t        133    0    1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.004000     0    0.     0.      0
 t        134    0   -1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.004000     0    0.     0.      0
 t        135    0   -1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.004000     0    0.     0.      0
 t        180    0    1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.004000     0    0.     0.      0
 t        181    0   -1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.004000     0    0.     0.      0
 t        182    0    1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.004000     0    0.     0.      0
 t        183    0   -1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.004000     0    0.     0.      0
 t        187    0   -1     3.0      0      0      0   7.0   5.6   1.3   7.0  0.004000     0    0.     0.      0
 q        120    0    1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000500     0    0.     0.      0
 q        130    0   -1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000600     0    0.     0.      0
 q        131    0   -1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000600     0    0.     0.      0
 q        132    0    1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000600     0    0.     0.      0
 q        133    0   -1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000600     0    0.     0.      0
 q        134    0   -1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000600     0    0.     0.      0
 q        135    0   -1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000600     0    0.     0.      0
 q        180    0    1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000500     0    0.     0.      0
 q        181    0   -1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000500     0    0.     0.      0
 q        182    0    1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000600     0    0.     0.      0
 q        183    0   -1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000600     0    0.     0.      0
 q        187    0   -1     3.0      0      0      0   8.0 100.0  10.0   8.0  0.000600     0    0.     0.      0
 pw       152    0   -1     3.0      0      0      0  10.0   8.0   2.0  10.0  0.000000     0    0.     0.      0
 pw       153    0   -1     3.0      0      0      0   5.0   5.0   2.0   5.0  0.000000     0    0.     0.      0
 pw       156    0   -1     3.0      0      0      0  10.0   8.0   2.0  10.0  0.000000     0    0.     0.      0
 pw       157    0   -1     3.0      0      0      0  10.0   8.0   2.0  10.0  0.000000     0    0.     0.      0
 pw       158    0   -1     3.0      0      0      0  10.0   8.0   2.0  10.0  0.000000     0    0.     0.      0
 pw       159    0   -1     3.0      0      0      0  10.0   8.0   2.0  10.0  0.000000     0    0.     0.      0
 sst      181    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      182    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      183    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      184    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      185    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      186    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      187    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      188    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      189    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      190    0   -1     3.0      0      0      0   2.5   2.0   0.2   2.5  0.000000     0    0.     0.      0
 sst      191    0   -1     3.0      0      0      0   3.0   2.0   0.2   3.0  0.000000     0    0.     0.      0
 sst      192    0   -1     3.0      0      0      0   3.0   2.0   0.2   3.0  0.000000     0    0.     0.      0
 sst      193    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      194    0   -1     3.0      0      0      0   3.0   2.0   0.2   3.0  0.000000     0    0.     0.      0
 sst      195    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      196    0   -1     3.0      0      0      0   2.5   2.0   0.2   2.5  0.000000     0    0.     0.      0
 sst      197    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      198    0   -1     3.0      0      0      0   2.5   2.0   0.2   2.5  0.000000     0    0.     0.      0
 sst      199    0   -1     3.0      0      0      0   1.5   2.0   0.2   1.5  0.000000     0    0.     0.      0
 sst      200    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      201    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 sst      202    0   -1     3.0      0      0      0   2.0   2.0   0.2   2.0  0.000000     0    0.     0.      0
 uv       210    0    1     3.0      0      0      0   8.0   6.1   1.4   8.0  0.000001     0    0.     0.      0
 uv       220    0    1     3.0      0      0      0   8.0   6.1   1.4   8.0  0.000001     0    0.     0.      0
 uv       221    0    1     3.0      0      0      0   8.0   6.1   1.4   8.0  0.000001     0    0.     0.      0
 uv       223    0    1     3.0      0      0      0   7.5   6.1   1.4   7.5  0.000001     0    0.     0.      0
 uv       224    0    1     3.0      0      0      0   6.5   6.1   1.4   6.5  0.000001     0    0.     0.      0
 uv       228    0   -1     3.0      0      0      0   6.5   6.1   1.4   6.5  0.000001     0    0.     0.      0
 uv       229    0    1     3.0      0      0      0   6.5   6.1   1.4   6.5  0.000001     0    0.     0.      0
 uv       230    0    1     3.0      0      0      0   6.0   6.1   1.4   6.0  0.000100     0    0.     0.      0
 uv       231    0    1     3.0      0      0      0   6.5   6.1   1.4   6.5  0.000100     0    0.     0.      0
 uv       232    0    1     3.0      0      0      0   7.0   6.1   1.4   7.0  0.000100     0    0.     0.      0
 uv       233    0    1     3.0      0      0      0   7.5   6.1   1.4   7.5  0.000100     0    0.     0.      0
 uv       234    0   -1     3.0      0      0      0   7.5   6.1   1.4   7.5  0.000100     0    0.     0.      0
 uv       235    0   -1     3.0      0      0      0   7.5   6.1   1.4   7.5  0.000100     0    0.     0.      0
 uv       241    0   -1     3.0      0      0      0   7.5   6.1   1.4   7.5  0.000100     0    0.     0.      0
 uv       242    0    1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.005000     0    0.     0.      0
 uv       243    0    1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.005000     0    0.     0.      0
 uv       243   55   -1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.005000     1  200.   100.      0
 uv       243   56    1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.005000     1  200.   100.      0
 uv       243   57    1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.005000     1  200.   100.      0
 uv       244    0   -1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.005000     0    0.     0.      0
 uv       245    0    1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.005000     0  200.   100.      0
 uv       245    1   -1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.005000     0  200.   100.      0
 uv       245   15    1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.005000     0  200.   100.      0
 uv       246    0    1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.005000     0  200.   100.      0
 uv       246   15    1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.005000     0  200.   100.      0
 uv       247    0   -1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.005000     0    0.     0.      0
 uv       248    0   -1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.000500     0    0.     0.      0
 uv       249    0   -1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.000500     0    0.     0.      0
 uv       250    0    1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.000500     0    0.     0.      0
 uv       251    0   -1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.000050     0    0.     0.      0
 uv       251   15   -1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.000050     0    0.     0.      0
 uv       252    0    1     3.0      0      0      0   2.5   5.0   1.4   2.5  0.000050     0    0.     0.      0
 uv       253    0    1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.000500     0    0.     0.      0
 uv       253   55   -1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.000500     1  200.   100.      0
 uv       253   56    1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.000500     1  200.   100.      0
 uv       253   57    1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.000500     1  200.   100.      0
 uv       254    0   -1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.000500     0    0.     0.      0
 uv       254   55   -1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.000500     0    0.     0.      0
 uv       254   56   -1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.000500     0    0.     0.      0
